Mes,Cantidad
01-2015,525
02-2015,525
03-2015,400
04-2015,525
05-2015,600
06-2015,475
07-2015,525
08-2015,375
09-2015,450
10-2015,550
11-2015,325
12-2015,675
01-2016,525
02-2016,425
03-2016,550
04-2016,425
05-2016,375
06-2016,550
07-2016,525
08-2016,550
09-2016,400
10-2016,375
11-2016,325
12-2016,525
01-2017,650
02-2017,475
03-2017,250
04-2017,575
05-2017,525
06-2017,400
07-2017,425
08-2017,675
09-2017,550
10-2017,500
11-2017,625
12-2017,750
01-2018,450
02-2018,550
03-2018,475
04-2018,175
05-2018,400
06-2018,700
07-2018,425
08-2018,565
09-2018,475
10-2018,525
11-2018,375
12-2018,625
01-2019,475
02-2019,425
03-2019,75
04-2019,350
05-2019,325
06-2019,550
07-2019,342
08-2019,350
09-2019,450
10-2019,175
11-2019,425
12-2019,500
01-2020,1200
02-2020,1075
03-2020,225
04-2020,75
05-2020,50
