Mes,Cantidad
01-2015,360
02-2015,552
03-2015,660
04-2015,432
05-2015,420
06-2015,240
07-2015,300
08-2015,240
09-2015,540
10-2015,480
11-2015,240
12-2015,300
01-2016,480
02-2016,840
03-2016,780
04-2016,540
05-2016,480
06-2016,540
07-2016,420
08-2016,600
09-2016,480
10-2016,300
11-2016,300
12-2016,120
01-2017,300
02-2017,840
03-2017,120
04-2017,540
05-2017,300
06-2017,180
07-2017,480
08-2017,240
09-2017,600
10-2017,480
11-2017,360
12-2017,360
01-2018,420
02-2018,360
03-2018,480
04-2018,0
05-2018,120
06-2018,360
07-2018,240
08-2018,372
09-2018,300
10-2018,600
11-2018,300
12-2018,840
01-2019,300
02-2019,540
03-2019,120
04-2019,480
05-2019,420
06-2019,450
07-2019,150
08-2019,300
09-2019,375
10-2019,75
11-2019,225
12-2019,450
01-2020,975
02-2020,1350
03-2020,165
04-2020,0
05-2020,0
