Mes,Cantidad
01-2015,500
02-2015,575
03-2015,575
04-2015,650
05-2015,775
06-2015,600
07-2015,775
08-2015,150
09-2015,475
10-2015,625
11-2015,500
12-2015,825
01-2016,950
02-2016,750
03-2016,823
04-2016,525
05-2016,700
06-2016,675
07-2016,625
08-2016,625
09-2016,550
10-2016,650
11-2016,475
12-2016,675
01-2017,600
02-2017,575
03-2017,100
04-2017,825
05-2017,625
06-2017,643
07-2017,750
08-2017,1200
09-2017,900
10-2017,825
11-2017,825
12-2017,875
01-2018,500
02-2018,1075
03-2018,775
04-2018,300
05-2018,200
06-2018,700
07-2018,175
08-2018,850
09-2018,625
10-2018,875
11-2018,425
12-2018,950
01-2019,725
02-2019,402
03-2019,50
04-2019,425
05-2019,300
06-2019,550
07-2019,400
08-2019,400
09-2019,450
10-2019,200
11-2019,350
12-2019,650
01-2020,1175
02-2020,1125
03-2020,325
04-2020,200
05-2020,75
