Mes,Cantidad
01-2015,300
02-2015,400
03-2015,200
04-2015,150
05-2015,700
06-2015,425
07-2015,350
08-2015,250
09-2015,450
10-2015,475
11-2015,300
12-2015,700
01-2016,525
02-2016,475
03-2016,550
04-2016,525
05-2016,475
06-2016,450
07-2016,400
08-2016,425
09-2016,225
10-2016,350
11-2016,275
12-2016,450
01-2017,350
02-2017,300
03-2017,0
04-2017,0
05-2017,6
06-2017,0
07-2017,0
08-2017,0
09-2017,0
10-2017,0
11-2017,0
12-2017,0
01-2018,0
02-2018,0
03-2018,0
04-2018,0
05-2018,200
06-2018,750
07-2018,150
08-2018,600
09-2018,650
10-2018,725
11-2018,425
12-2018,850
01-2019,375
02-2019,400
03-2019,50
04-2019,350
05-2019,425
06-2019,475
07-2019,425
08-2019,400
09-2019,400
10-2019,250
11-2019,375
12-2019,575
01-2020,1175
02-2020,1100
03-2020,250
04-2020,150
05-2020,100
