Mes,Cantidad
01-2015,0
02-2015,0
03-2015,0
04-2015,0
05-2015,0
06-2015,0
07-2015,0
08-2015,0
09-2015,0
10-2015,0
11-2015,0
12-2015,0
01-2016,0
02-2016,0
03-2016,0
04-2016,0
05-2016,0
06-2016,0
07-2016,0
08-2016,0
09-2016,0
10-2016,0
11-2016,0
12-2016,0
01-2017,0
02-2017,475
03-2017,250
04-2017,600
05-2017,525
06-2017,400
07-2017,450
08-2017,675
09-2017,575
10-2017,525
11-2017,625
12-2017,600
01-2018,450
02-2018,625
03-2018,550
04-2018,175
05-2018,400
06-2018,700
07-2018,450
08-2018,525
09-2018,425
10-2018,500
11-2018,350
12-2018,625
01-2019,525
02-2019,425
03-2019,94
04-2019,350
05-2019,350
06-2019,425
07-2019,450
08-2019,325
09-2019,450
10-2019,175
11-2019,450
12-2019,550
01-2020,1000
02-2020,1000
03-2020,200
04-2020,100
05-2020,75
06-2020,325
07-2020,350
08-2020,175
09-2020,400
10-2020,425
