Mes,Cantidad
01-2015,1080
02-2015,852
03-2015,720
04-2015,660
05-2015,600
06-2015,600
07-2015,660
08-2015,480
09-2015,840
10-2015,600
11-2015,720
12-2015,960
01-2016,1092
02-2016,1440
03-2016,1140
04-2016,1332
05-2016,840
06-2016,1140
07-2016,1320
08-2016,1020
09-2016,1200
10-2016,720
11-2016,600
12-2016,660
01-2017,720
02-2017,1200
03-2017,660
04-2017,1080
05-2017,660
06-2017,480
07-2017,240
08-2017,240
09-2017,720
10-2017,600
11-2017,1008
12-2017,840
01-2018,540
02-2018,1080
03-2018,816
04-2018,180
05-2018,300
06-2018,780
07-2018,540
08-2018,792
09-2018,840
10-2018,840
11-2018,660
12-2018,960
01-2019,480
02-2019,665
03-2019,120
04-2019,540
05-2019,480
06-2019,825
07-2019,450
08-2019,675
09-2019,375
10-2019,75
11-2019,225
12-2019,600
01-2020,1575
02-2020,1875
03-2020,285
04-2020,0
05-2020,0
06-2020,90
07-2020,150
08-2020,0
09-2020,150
10-2020,225
