Mes,Cantidad
01-2015,2000
02-2015,1760
03-2015,1480
04-2015,1160
05-2015,1980
06-2015,2020
07-2015,2400
08-2015,1540
09-2015,2360
10-2015,2140
11-2015,1389
12-2015,2900
01-2016,2720
02-2016,2365
03-2016,2729
04-2016,2680
05-2016,2300
06-2016,4980
07-2016,2080
08-2016,2940
09-2016,2880
10-2016,1720
11-2016,1187
12-2016,1980
01-2017,2780
02-2017,3340
03-2017,1160
04-2017,2420
05-2017,1677
06-2017,2105
07-2017,2200
08-2017,3320
09-2017,3720
10-2017,2780
11-2017,3500
12-2017,2620
01-2018,3168
02-2018,2832
03-2018,2352
04-2018,1080
05-2018,720
06-2018,3888
07-2018,3120
08-2018,3256
09-2018,2664
10-2018,3192
11-2018,2040
12-2018,4488
01-2019,2952
02-2019,3345
03-2019,496
04-2019,2760
05-2019,2232
06-2019,2904
07-2019,3362
08-2019,2616
09-2019,3048
10-2019,1320
11-2019,1824
12-2019,4224
01-2020,8616
02-2020,10656
03-2020,1584
04-2020,600
05-2020,384
06-2020,2160
07-2020,3504
08-2020,4080
09-2020,3744
10-2020,3120
