Mes,Cantidad
01-2015,775
02-2015,675
03-2015,425
04-2015,625
05-2015,825
06-2015,575
07-2015,475
08-2015,275
09-2015,725
10-2015,775
11-2015,640
12-2015,925
01-2016,1000
02-2016,925
03-2016,875
04-2016,650
05-2016,450
06-2016,750
07-2016,750
08-2016,725
09-2016,550
10-2016,725
11-2016,558
12-2016,800
01-2017,725
02-2017,725
03-2017,175
04-2017,875
05-2017,675
06-2017,725
07-2017,775
08-2017,1275
09-2017,1075
10-2017,875
11-2017,900
12-2017,925
01-2018,600
02-2018,1100
03-2018,925
04-2018,350
05-2018,325
06-2018,450
07-2018,100
08-2018,825
09-2018,700
10-2018,1050
11-2018,625
12-2018,1225
01-2019,725
02-2019,603
03-2019,50
04-2019,350
05-2019,425
06-2019,600
07-2019,613
08-2019,525
09-2019,575
10-2019,325
11-2019,525
12-2019,825
01-2020,1700
02-2020,1500
03-2020,400
04-2020,150
05-2020,100
06-2020,625
07-2020,875
08-2020,1175
09-2020,825
10-2020,550
