Mes,Cantidad
01-2015,275
02-2015,475
03-2015,350
04-2015,475
05-2015,625
06-2015,425
07-2015,350
08-2015,150
09-2015,275
10-2015,500
11-2015,325
12-2015,750
01-2016,625
02-2016,625
03-2016,500
04-2016,500
05-2016,550
06-2016,475
07-2016,400
08-2016,450
09-2016,400
10-2016,400
11-2016,325
12-2016,525
01-2017,500
02-2017,275
03-2017,150
04-2017,400
05-2017,500
06-2017,300
07-2017,825
08-2017,550
09-2017,750
10-2017,500
11-2017,550
12-2017,575
01-2018,350
02-2018,725
03-2018,600
04-2018,275
05-2018,125
06-2018,400
07-2018,125
08-2018,425
09-2018,425
10-2018,625
11-2018,300
12-2018,725
01-2019,375
02-2019,25
03-2019,98
04-2019,325
05-2019,250
06-2019,500
07-2019,200
08-2019,275
09-2019,450
10-2019,100
11-2019,325
12-2019,525
01-2020,925
02-2020,950
03-2020,225
04-2020,125
05-2020,25
06-2020,300
07-2020,575
08-2020,750
09-2020,575
10-2020,475
