Mes,Cantidad
01-2015,500
02-2015,620
03-2015,260
04-2015,300
05-2015,380
06-2015,300
07-2015,580
08-2015,420
09-2015,620
10-2015,580
11-2015,460
12-2015,980
01-2016,1020
02-2016,620
03-2016,700
04-2016,260
05-2016,420
06-2016,620
07-2016,560
08-2016,600
09-2016,620
10-2016,440
11-2016,420
12-2016,780
01-2017,480
02-2017,700
03-2017,300
04-2017,620
05-2017,540
06-2017,581
07-2017,320
08-2017,580
09-2017,560
10-2017,520
11-2017,520
12-2017,972
01-2018,384
02-2018,816
03-2018,648
04-2018,144
05-2018,48
06-2018,432
07-2018,480
08-2018,1104
09-2018,288
10-2018,816
11-2018,480
12-2018,1224
01-2019,192
02-2019,432
03-2019,72
04-2019,432
05-2019,312
06-2019,216
07-2019,425
08-2019,336
09-2019,528
10-2019,168
11-2019,600
12-2019,600
01-2020,1008
02-2020,1824
03-2020,264
04-2020,24
05-2020,24
06-2020,312
07-2020,360
08-2020,216
09-2020,432
10-2020,528
