Mes,Cantidad
01-2015,1300
02-2015,1450
03-2015,1350
04-2015,950
05-2015,1250
06-2015,800
07-2015,1250
08-2015,1000
09-2015,1200
10-2015,1150
11-2015,1050
12-2015,1300
01-2016,1800
02-2016,1800
03-2016,1540
04-2016,1500
05-2016,1600
06-2016,1200
07-2016,1350
08-2016,1600
09-2016,1300
10-2016,1550
11-2016,850
12-2016,850
01-2017,800
02-2017,1150
03-2017,400
04-2017,850
05-2017,550
06-2017,550
07-2017,900
08-2017,800
09-2017,850
10-2017,850
11-2017,600
12-2017,500
01-2018,0
02-2018,100
03-2018,400
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,0
10-2018,300
11-2018,150
12-2018,0
01-2019,0
02-2019,0
03-2019,0
04-2019,100
05-2019,0
06-2019,0
07-2019,0
08-2019,0
09-2019,550
10-2019,0
11-2019,0
12-2019,550
01-2020,0
02-2020,440
03-2020,0
04-2020,0
05-2020,0
06-2020,0
07-2020,0
08-2020,0
09-2020,0
10-2020,220
