Mes,Cantidad
01-2015,650
02-2015,800
03-2015,900
04-2015,850
05-2015,800
06-2015,550
07-2015,800
08-2015,700
09-2015,850
10-2015,1000
11-2015,750
12-2015,1000
01-2016,1750
02-2016,1750
03-2016,1250
04-2016,1450
05-2016,1150
06-2016,950
07-2016,1200
08-2016,850
09-2016,1100
10-2016,650
11-2016,472
12-2016,850
01-2017,650
02-2017,700
03-2017,350
04-2017,650
05-2017,450
06-2017,550
07-2017,600
08-2017,550
09-2017,800
10-2017,850
11-2017,450
12-2017,550
01-2018,100
02-2018,150
03-2018,0
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,0
10-2018,300
11-2018,150
12-2018,0
01-2019,0
02-2019,0
03-2019,0
04-2019,165
05-2019,0
06-2019,0
07-2019,0
08-2019,0
09-2019,715
10-2019,0
11-2019,0
12-2019,550
01-2020,0
02-2020,440
03-2020,0
04-2020,0
05-2020,0
06-2020,0
07-2020,0
08-2020,0
09-2020,0
10-2020,220
