Mes,Cantidad
01-2015,920
02-2015,640
03-2015,500
04-2015,460
05-2015,580
06-2015,240
07-2015,480
08-2015,300
09-2015,440
10-2015,360
11-2015,312
12-2015,700
01-2016,1060
02-2016,680
03-2016,544
04-2016,360
05-2016,500
06-2016,500
07-2016,340
08-2016,380
09-2016,420
10-2016,380
11-2016,220
12-2016,400
01-2017,540
02-2017,440
03-2017,180
04-2017,660
05-2017,620
06-2017,640
07-2017,560
08-2017,740
09-2017,560
10-2017,620
11-2017,580
12-2017,740
01-2018,560
02-2018,800
03-2018,280
04-2018,120
05-2018,200
06-2018,680
07-2018,400
08-2018,480
09-2018,440
10-2018,520
11-2018,320
12-2018,1140
01-2019,520
02-2019,604
03-2019,0
04-2019,600
05-2019,460
06-2019,460
07-2019,260
08-2019,160
09-2019,400
10-2019,100
11-2019,360
12-2019,520
01-2020,1140
02-2020,1220
03-2020,240
04-2020,40
05-2020,0
06-2020,240
07-2020,200
08-2020,140
09-2020,280
10-2020,340
