Mes,Cantidad
01-2015,560
02-2015,620
03-2015,260
04-2015,300
05-2015,420
06-2015,320
07-2015,600
08-2015,420
09-2015,620
10-2015,580
11-2015,475
12-2015,980
01-2016,1040
02-2016,600
03-2016,700
04-2016,260
05-2016,400
06-2016,600
07-2016,580
08-2016,560
09-2016,640
10-2016,440
11-2016,404
12-2016,780
01-2017,480
02-2017,720
03-2017,300
04-2017,620
05-2017,522
06-2017,580
07-2017,280
08-2017,560
09-2017,560
10-2017,520
11-2017,520
12-2017,692
01-2018,384
02-2018,936
03-2018,672
04-2018,144
05-2018,216
06-2018,552
07-2018,504
08-2018,552
09-2018,744
10-2018,840
11-2018,552
12-2018,1224
01-2019,528
02-2019,639
03-2019,72
04-2019,456
05-2019,336
06-2019,360
07-2019,384
08-2019,336
09-2019,504
10-2019,168
11-2019,600
12-2019,672
01-2020,1008
02-2020,1848
03-2020,264
04-2020,48
05-2020,24
06-2020,336
07-2020,408
08-2020,288
09-2020,504
10-2020,576
