Mes,Cantidad
01-2015,0
02-2015,0
03-2015,0
04-2015,0
05-2015,0
06-2015,0
07-2015,0
08-2015,0
09-2015,0
10-2015,0
11-2015,0
12-2015,0
01-2016,0
02-2016,0
03-2016,0
04-2016,0
05-2016,0
06-2016,0
07-2016,0
08-2016,0
09-2016,0
10-2016,0
11-2016,0
12-2016,0
01-2017,0
02-2017,0
03-2017,0
04-2017,0
05-2017,0
06-2017,0
07-2017,0
08-2017,0
09-2017,0
10-2017,0
11-2017,0
12-2017,0
01-2018,0
02-2018,0
03-2018,0
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,0
10-2018,0
11-2018,0
12-2018,0
01-2019,0
02-2019,0
03-2019,0
04-2019,0
05-2019,0
06-2019,0
07-2019,2805
08-2019,1705
09-2019,3850
10-2019,1155
11-2019,1210
12-2019,1705
01-2020,3410
02-2020,3355
03-2020,1045
04-2020,660
05-2020,495
06-2020,935
07-2020,2585
08-2020,3575
09-2020,2145
10-2020,1074
