Mes,Cantidad
01-2015,0
02-2015,0
03-2015,0
04-2015,0
05-2015,0
06-2015,0
07-2015,0
08-2015,0
09-2015,0
10-2015,0
11-2015,0
12-2015,0
01-2016,0
02-2016,0
03-2016,0
04-2016,0
05-2016,0
06-2016,0
07-2016,0
08-2016,0
09-2016,1820
10-2016,1500
11-2016,220
12-2016,980
01-2017,820
02-2017,820
03-2017,420
04-2017,800
05-2017,829
06-2017,761
07-2017,1180
08-2017,1160
09-2017,900
10-2017,760
11-2017,920
12-2017,1280
01-2018,640
02-2018,1140
03-2018,940
04-2018,340
05-2018,440
06-2018,1180
07-2018,1040
08-2018,1080
09-2018,1100
10-2018,1375
11-2018,1075
12-2018,1925
01-2019,425
02-2019,1184
03-2019,150
04-2019,1050
05-2019,1000
06-2019,925
07-2019,881
08-2019,925
09-2019,1030
10-2019,570
11-2019,1110
12-2019,1050
01-2020,2400
02-2020,3390
03-2020,570
04-2020,180
05-2020,90
06-2020,981
07-2020,1050
08-2020,570
09-2020,870
10-2020,1050
