Mes,Cantidad
01-2015,200
02-2015,60
03-2015,140
04-2015,80
05-2015,140
06-2015,0
07-2015,0
08-2015,0
09-2015,560
10-2015,1040
11-2015,64
12-2015,300
01-2016,200
02-2016,200
03-2016,166
04-2016,120
05-2016,200
06-2016,0
07-2016,0
08-2016,0
09-2016,500
10-2016,2040
11-2016,10
12-2016,0
01-2017,0
02-2017,0
03-2017,0
04-2017,0
05-2017,0
06-2017,0
07-2017,0
08-2017,0
09-2017,1300
10-2017,1360
11-2017,300
12-2017,220
01-2018,40
02-2018,0
03-2018,0
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,1140
10-2018,1040
11-2018,120
12-2018,360
01-2019,100
02-2019,148
03-2019,20
04-2019,0
05-2019,0
06-2019,0
07-2019,5
08-2019,0
09-2019,1540
10-2019,814
11-2019,132
12-2019,0
01-2020,0
02-2020,0
03-2020,0
04-2020,0
05-2020,0
06-2020,0
07-2020,0
08-2020,0
09-2020,1056
10-2020,1716
