Mes,Cantidad
01-2015,0
02-2015,0
03-2015,0
04-2015,840
05-2015,180
06-2015,780
07-2015,900
08-2015,540
09-2015,660
10-2015,1860
11-2015,960
12-2015,1440
01-2016,660
02-2016,780
03-2016,600
04-2016,900
05-2016,900
06-2016,840
07-2016,540
08-2016,360
09-2016,420
10-2016,900
11-2016,420
12-2016,480
01-2017,360
02-2017,480
03-2017,360
04-2017,660
05-2017,420
06-2017,420
07-2017,480
08-2017,600
09-2017,540
10-2017,780
11-2017,660
12-2017,420
01-2018,60
02-2018,300
03-2018,0
04-2018,0
05-2018,0
06-2018,0
07-2018,0
08-2018,0
09-2018,0
10-2018,540
11-2018,120
12-2018,0
01-2019,0
02-2019,0
03-2019,0
04-2019,120
05-2019,0
06-2019,0
07-2019,0
08-2019,360
09-2019,0
10-2019,0
11-2019,0
12-2019,660
01-2020,0
02-2020,120
03-2020,0
04-2020,0
05-2020,60
06-2020,60
07-2020,0
08-2020,420
09-2020,0
10-2020,420
