Mes,Cantidad
01-2015,552
02-2015,368
03-2015,288
04-2015,432
05-2015,464
06-2015,368
07-2015,448
08-2015,304
09-2015,480
10-2015,480
11-2015,277
12-2015,560
01-2016,448
02-2016,480
03-2016,436
04-2016,400
05-2016,560
06-2016,560
07-2016,464
08-2016,448
09-2016,496
10-2016,320
11-2016,385
12-2016,384
01-2017,704
02-2017,96
03-2017,272
04-2017,368
05-2017,352
06-2017,320
07-2017,416
08-2017,400
09-2017,496
10-2017,384
11-2017,368
12-2017,448
01-2018,352
02-2018,432
03-2018,304
04-2018,112
05-2018,192
06-2018,448
07-2018,352
08-2018,368
09-2018,368
10-2018,432
11-2018,272
12-2018,656
01-2019,352
02-2019,414
03-2019,64
04-2019,384
05-2019,336
06-2019,176
07-2019,0
08-2019,0
09-2019,0
10-2019,0
11-2019,0
12-2019,0
01-2020,0
02-2020,0
03-2020,0
04-2020,0
05-2020,0
06-2020,0
07-2020,0
08-2020,0
09-2020,0
10-2020,0
