Fecha,Ventas
01-2015,975
02-2015,900
03-2015,897
04-2015,800
05-2015,1025
06-2015,850
07-2015,1100
08-2015,575
09-2015,850
10-2015,925
11-2015,625
12-2015,1175
01-2016,850
02-2016,425
03-2016,550
04-2016,425
05-2016,375
06-2016,550
07-2016,550
08-2016,700
09-2016,725
10-2016,625
11-2016,475
12-2016,650
01-2017,650
02-2017,950
03-2017,500
04-2017,1175
05-2017,1050
06-2017,800
07-2017,875
08-2017,1350
09-2017,1125
10-2017,1025
11-2017,1250
12-2017,1375
01-2018,900
02-2018,1175
03-2018,1025
04-2018,350
05-2018,800
06-2018,1400
07-2018,1575
08-2018,3290
09-2018,2125
10-2018,1975
11-2018,1225
12-2018,2025
01-2019,1775
02-2019,1325
03-2019,450
04-2019,1100
05-2019,975
06-2019,1800
07-2019,1467
08-2019,1300
09-2019,1625
10-2019,700
11-2019,1150
12-2019,1850
01-2020,3975
02-2020,4000
03-2020,1400
04-2020,1000
05-2020,929
06-2020,1625
07-2020,1425
08-2020,1200
09-2020,1750
10-2020,2300
