Fecha,Ventas
01-2015,1440
02-2015,1404
03-2015,1380
04-2015,1092
05-2015,1020
06-2015,840
07-2015,960
08-2015,720
09-2015,1380
10-2015,1080
11-2015,960
12-2015,1260
01-2016,1572
02-2016,2280
03-2016,1920
04-2016,1872
05-2016,1320
06-2016,1680
07-2016,1740
08-2016,1620
09-2016,1680
10-2016,1020
11-2016,900
12-2016,780
01-2017,1020
02-2017,2040
03-2017,780
04-2017,1620
05-2017,960
06-2017,660
07-2017,720
08-2017,480
09-2017,1320
10-2017,1080
11-2017,1368
12-2017,1200
01-2018,960
02-2018,1440
03-2018,1296
04-2018,180
05-2018,420
06-2018,1140
07-2018,780
08-2018,1164
09-2018,1140
10-2018,1440
11-2018,960
12-2018,1800
01-2019,780
02-2019,1205
03-2019,240
04-2019,1020
05-2019,900
06-2019,1275
07-2019,600
08-2019,975
09-2019,750
10-2019,450
11-2019,450
12-2019,1050
01-2020,2550
02-2020,3225
03-2020,450
04-2020,1000
05-2020,1000
06-2020,465
07-2020,430
08-2020,400
09-2020,860
10-2020,710
