Fecha,Ventas
01-2015,108
02-2015,84
03-2015,60
04-2015,168
05-2015,60
06-2015,132
07-2015,156
08-2015,156
09-2015,192
10-2015,168
11-2015,648
12-2015,564
01-2016,588
02-2016,708
03-2016,540
04-2016,576
05-2016,612
06-2016,768
07-2016,684
08-2016,708
09-2016,552
10-2016,564
11-2016,384
12-2016,612
01-2017,600
02-2017,564
03-2017,588
04-2017,372
05-2017,554
06-2017,684
07-2017,744
08-2017,732
09-2017,564
10-2017,564
11-2017,552
12-2017,636
01-2018,672
02-2018,972
03-2018,684
04-2018,264
05-2018,348
06-2018,936
07-2018,576
08-2018,948
09-2018,663
10-2018,768
11-2018,624
12-2018,1080
01-2019,564
02-2019,618
03-2019,250
04-2019,744
05-2019,408
06-2019,624
07-2019,369
08-2019,564
09-2019,636
10-2019,180
11-2019,420
12-2019,528
01-2020,888
02-2020,840
03-2020,600
04-2020,300
05-2020,342
06-2020,600
07-2020,450
08-2020,400
09-2020,240
10-2020,840
11-2020,96
12-2020,0
01-2021,0
