Fecha,Ventas,Pronóstico
01-2015,1850,2037
02-2015,2125,2538
03-2015,1550,1342
04-2015,1900,1719
05-2015,2925,2221
06-2015,2025,2329
07-2015,1950,1947
08-2015,825,823
09-2015,1925,1913
10-2015,2375,2365
11-2015,1765,1756
12-2015,3200,3179
01-2016,3100,3097
02-2016,2775,2763
03-2016,2748,2745
04-2016,2200,2193
05-2016,2175,2161
06-2016,2350,2338
07-2016,2175,2172
08-2016,2225,2219
09-2016,1725,1719
10-2016,2125,2113
11-2016,1633,1622
12-2016,2450,2434
01-2017,2175,2172
02-2017,1875,1870
03-2017,425,421
04-2017,2100,2087
05-2017,1806,1794
06-2017,1668,1655
07-2017,2350,2347
08-2017,3025,3020
09-2017,2725,2703
10-2017,2200,2198
11-2017,2275,2264
12-2017,2375,2362
01-2018,1450,1450
02-2018,2900,2892
03-2018,2300,2293
04-2018,925,918
05-2018,850,838
06-2018,2300,2282
07-2018,550,551
08-2018,2700,2693
09-2018,2400,2392
10-2018,3275,3254
11-2018,1775,1768
12-2018,3750,3738
01-2019,2200,2188
02-2019,2500,1430
03-2019,635,243
04-2019,1450,1439
05-2019,1400,1386
06-2019,2125,2113
07-2019,1638,1635
08-2019,1600,1595
09-2019,1875,1854
10-2019,1500,871
11-2019,1575,1563
12-2019,2575,2564
01-2020,4975,4963
02-2020,3477,4671
03-2020,2200,1201
04-2020,1500,615
05-2020,1100,289
06-2020,1475,1459
07-2020,2875,2873
08-2020,3425,3420
09-2020,2425,2405
10-2020,2525,2514
