Fecha,Ventas,Pronóstico
01-2015,975,0
02-2015,900,0
03-2015,897,0
04-2015,800,0
05-2015,1025,17
06-2015,850,5937
07-2015,1100,1121
08-2015,575,600
09-2015,850,894
10-2015,925,991
11-2015,625,683
12-2015,1175,1306
01-2016,850,869
02-2016,425,437
03-2016,550,576
04-2016,425,450
05-2016,375,398
06-2016,550,599
07-2016,550,556
08-2016,700,715
09-2016,725,760
10-2016,625,661
11-2016,475,505
12-2016,650,706
01-2017,650,658
02-2017,950,978
03-2017,500,520
04-2017,1175,1242
05-2017,1050,1128
06-2017,800,868
07-2017,875,886
08-2017,1350,1391
09-2017,1125,1168
10-2017,1025,1086
11-2017,1250,1337
12-2017,1375,1491
01-2018,900,914
02-2018,1175,1206
03-2018,1025,1060
04-2018,350,350
05-2018,800,834
06-2018,1400,1510
07-2018,1575,1591
08-2018,3290,3398
09-2018,2125,2231
10-2018,1975,2063
11-2018,1225,1304
12-2018,2025,2198
01-2019,1775,1802
02-2019,1325,1361
03-2019,244,227
04-2019,1100,1127
05-2019,975,1002
06-2019,1800,1934
07-2019,1467,1489
08-2019,1300,1327
09-2019,1625,1629
10-2019,700,713
11-2019,1150,1191
12-2019,1850,1991
01-2020,3975,4016
02-2020,4000,4124
03-2020,775,798
04-2020,175,123
05-2020,200,133
06-2020,1625,1709
07-2020,1425,1452
08-2020,975,988
09-2020,1750,1746
10-2020,2300,2364
11-2020,575,562
12-2020,0,541
01-2021,0,569
