Fecha,Ventas,Pronóstico
01-2015,1440,1453
02-2015,1404,1789
03-2015,1380,1287
04-2015,1092,958
05-2015,1020,775
06-2015,840,811
07-2015,960,948
08-2015,720,706
09-2015,1380,1337
10-2015,1080,1042
11-2015,960,913
12-2015,1260,1191
01-2016,1572,1558
02-2016,2280,2227
03-2016,1920,1916
04-2016,1872,1821
05-2016,1320,1278
06-2016,1680,1620
07-2016,1740,1735
08-2016,1620,1612
09-2016,1680,1641
10-2016,1020,993
11-2016,900,845
12-2016,780,726
01-2017,1020,1008
02-2017,2040,2000
03-2017,780,780
04-2017,1620,1545
05-2017,960,925
06-2017,660,607
07-2017,720,715
08-2017,480,472
09-2017,1320,1235
10-2017,1080,1061
11-2017,1368,1299
12-2017,1200,1139
01-2018,960,956
02-2018,1440,1395
03-2018,1296,1285
04-2018,180,164
05-2018,420,367
06-2018,1140,1060
07-2018,780,784
08-2018,1164,1160
09-2018,1140,1124
10-2018,1440,1249
11-2018,960,947
12-2018,1800,1773
01-2019,780,784
02-2019,1205,1184
03-2019,240,231
04-2019,1020,967
05-2019,900,843
06-2019,1275,1219
07-2019,600,595
08-2019,975,966
09-2019,750,677
10-2019,150,127
11-2019,450,398
12-2019,1050,996
01-2020,2550,2475
02-2020,3225,3252
03-2020,450,483
04-2020,1000,887
05-2020,1000,976
06-2020,465,427
07-2020,150,151
08-2020,75,57
09-2020,375,304
10-2020,300,269
11-2020,75,31
12-2020,,15
01-2021,,62
,,
,"33229,75",
,11077,
