Fecha,Ventas,Pronóstico
01-2015,2000,2425
02-2015,1760,2223
03-2015,1480,1381
04-2015,1160,985
05-2015,1980,1371
06-2015,2020,2515
07-2015,2400,2421
08-2015,1540,1571
09-2015,2360,2421
10-2015,2140,2218
11-2015,1389,1456
12-2015,2900,3056
01-2016,2720,2747
02-2016,2365,2403
03-2016,2729,2805
04-2016,2680,2774
05-2016,2300,2396
06-2016,4980,5256
07-2016,2080,2107
08-2016,2940,2984
09-2016,2880,2954
10-2016,1720,1776
11-2016,1187,1226
12-2016,1980,2072
01-2017,2780,2786
02-2017,3340,3401
03-2017,1160,1189
04-2017,2420,2486
05-2017,1677,1736
06-2017,2105,2202
07-2017,2200,2219
08-2017,3320,3373
09-2017,3720,3785
10-2017,2780,2876
11-2017,3500,3634
12-2017,2620,2743
01-2018,3168,3190
02-2018,2832,2878
03-2018,2352,2402
04-2018,1080,1096
05-2018,720,720
06-2018,3888,4054
07-2018,3120,3149
08-2018,3256,3303
09-2018,2664,2719
10-2018,3192,3269
11-2018,2040,2101
12-2018,4488,4707
01-2019,2952,2975
02-2019,3345,3391
03-2019,496,493
04-2019,2760,2823
05-2019,2232,2291
06-2019,2904,3021
07-2019,3362,3386
08-2019,2616,2659
09-2019,3048,3048
10-2019,1320,1346
11-2019,1824,1863
12-2019,4224,4417
01-2020,8616,8678
02-2020,10656,10824
03-2020,1584,1632
04-2020,600,574
05-2020,384,341
06-2020,2160,2210
07-2020,3504,3539
08-2020,4080,4149
09-2020,3744,3744
10-2020,4392,4500
11-2020,960,957
12-2020,,942
01-2021,,958
,,
,110665,
,36888,
