Fecha,Ventas,Pronóstico
01-2015,200,57
02-2015,60,33
03-2015,140,260
04-2015,80,214
05-2015,140,57
06-2015,0,0
07-2015,0,0
08-2015,0,0
09-2015,560,830
10-2015,1040,1913
11-2015,64,58
12-2015,300,42
01-2016,200,75
02-2016,200,85
03-2016,166,249
04-2016,120,199
05-2016,200,255
06-2016,0,0
07-2016,0,0
08-2016,0,0
09-2016,500,671
10-2016,2040,2895
11-2016,10,10
12-2016,0,0
01-2017,0,0
02-2017,0,0
03-2017,0,0
04-2017,0,0
05-2017,0,0
06-2017,0,0
07-2017,0,0
08-2017,0,0
09-2017,1300,2142
10-2017,1360,2302
11-2017,300,522
12-2017,220,41
01-2018,40,8
02-2018,0,0
03-2018,0,0
04-2018,0,0
05-2018,0,0
06-2018,0,0
07-2018,0,0
08-2018,0,0
09-2018,1140,1381
10-2018,1040,1281
11-2018,120,147
12-2018,360,260
01-2019,100,70
02-2019,148,10
03-2019,20,24
04-2019,0,0
05-2019,0,0
06-2019,0,0
07-2019,5,4
08-2019,1540,1540
09-2019,814,1425
10-2019,132,93
11-2019,0,0
12-2019,0,0
01-2020,0,0
02-2020,0,0
03-2020,0,0
04-2020,0,0
05-2020,0,0
06-2020,0,0
07-2020,0,0
08-2020,0,0
09-2020,1056,1644
10-2020,2046,2307
11-2020,220,68
12-2020,0,83
01-2021,0,235
