Fecha,Ventas,Pronóstico
01-2015,396,352
02-2015,336,347
03-2015,576,639
04-2015,1440,1110
05-2015,936,938
06-2015,552,568
07-2015,564,492
08-2015,288,308
09-2015,1008,1055
10-2015,348,346
11-2015,446,398
12-2015,708,639
01-2016,384,376
02-2016,408,390
03-2016,1907,1961
04-2016,456,498
05-2016,624,583
06-2016,660,623
07-2016,528,501
08-2016,1020,967
09-2016,840,929
10-2016,540,469
11-2016,462,440
12-2016,564,522
01-2017,336,334
02-2017,396,385
03-2017,396,397
04-2017,360,299
05-2017,435,390
06-2017,411,374
07-2017,336,319
08-2017,912,860
09-2017,552,583
10-2017,156,154
11-2017,336,286
12-2017,396,347
01-2018,336,323
02-2018,420,414
03-2018,588,557
04-2018,60,68
05-2018,288,238
06-2018,348,301
07-2018,252,251
08-2018,60,65
09-2018,456,412
10-2018,336,243
11-2018,300,282
12-2018,528,480
01-2019,168,190
02-2019,187,164
03-2019,24,15
04-2019,228,153
05-2019,156,126
06-2019,240,194
07-2019,180,169
08-2019,276,250
09-2019,144,121
10-2019,72,46
11-2019,192,147
12-2019,444,399
01-2020,756,694
02-2020,564,570
03-2020,144,149
04-2020,430,357
05-2020,430,409
06-2020,84,73
07-2020,78,74
08-2020,430,389
09-2020,24,31
10-2020,60,28
11-2020,430,377
12-2020,,365
01-2021,,434
,,
,"9778,1",
,3259,
