Fecha,Ventas,Pronóstico
01-2015,396,435
02-2015,336,335
03-2015,576,646
04-2015,1440,1120
05-2015,936,864
06-2015,552,593
07-2015,564,482
08-2015,288,297
09-2015,1008,1073
10-2015,348,348
11-2015,446,379
12-2015,708,662
01-2016,384,371
02-2016,408,381
03-2016,1907,1982
04-2016,0,121
05-2016,624,527
06-2016,660,631
07-2016,528,520
08-2016,1020,1001
09-2016,840,978
10-2016,540,320
11-2016,462,462
12-2016,564,552
01-2017,336,341
02-2017,396,392
03-2017,396,409
04-2017,360,241
05-2017,435,400
06-2017,411,385
07-2017,336,323
08-2017,912,870
09-2017,552,593
10-2017,156,134
11-2017,336,288
12-2017,396,351
01-2018,336,325
02-2018,420,416
03-2018,588,562
04-2018,60,60
05-2018,288,237
06-2018,348,300
07-2018,252,251
08-2018,60,64
09-2018,0,-21
10-2018,336,199
11-2018,300,275
12-2018,528,479
01-2019,168,203
02-2019,187,173
03-2019,24,8
04-2019,228,165
05-2019,156,131
06-2019,240,202
07-2019,180,176
08-2019,276,259
09-2019,144,88
10-2019,72,45
11-2019,192,150
12-2019,444,411
01-2020,756,712
02-2020,564,583
03-2020,144,124
04-2020,400,339
05-2020,400,384
06-2020,128,110
07-2020,128,124
08-2020,96,83
09-2020,144,89
10-2020,288,245
11-2020,48,26
12-2020,,0
01-2021,,39
,,
,8938,
,2979,
