Fecha,Ventas,Pronóstico
01-2015,3530,4753
02-2015,3710,4314
03-2015,3290,2968
04-2015,2840,2556
05-2015,3350,2302
06-2015,1910,1858
07-2015,3130,2635
08-2015,2420,2430
09-2015,3110,3072
10-2015,3090,3028
11-2015,2587,2501
12-2015,3980,3789
01-2016,5650,5611
02-2016,4830,4735
03-2016,4034,3953
04-2016,3570,3427
05-2016,3650,3444
06-2016,3250,3056
07-2016,3470,3453
08-2016,3390,3308
09-2016,3460,3336
10-2016,3020,2877
11-2016,1946,1789
12-2016,2880,2635
01-2017,2470,2446
02-2017,3010,2925
03-2017,1230,1160
04-2017,2780,2593
05-2017,2142,1950
06-2017,2320,2113
07-2017,2340,2302
08-2017,2650,2588
09-2017,2770,2585
10-2017,2840,2733
11-2017,2150,1976
12-2017,2482,2266
01-2018,944,940
02-2018,1936,1845
03-2018,1502,1401
04-2018,264,144
05-2018,416,227
06-2018,1232,996
07-2018,904,856
08-2018,1032,980
09-2018,1184,1080
10-2018,1960,1659
11-2018,1172,1031
12-2018,3756,3588
01-2019,1408,1409
02-2019,1675,1598
03-2019,96,20
04-2019,1585,1415
05-2019,988,804
06-2019,964,754
07-2019,644,621
08-2019,496,447
09-2019,2169,1575
10-2019,268,173
11-2019,960,789
12-2019,2676,2535
01-2020,4932,4876
02-2020,5916,5887
03-2020,792,820
04-2020,136,5
05-2020,72,0
06-2020,1152,935
07-2020,1112,1120
08-2020,788,747
09-2020,1504,1246
10-2020,3124,2726
11-2020,320,204
12-2020,0,106
01-2021,0,289
