Fecha,Ventas,Pronóstico
01-2015,0,0
02-2015,0,0
03-2015,0,0
04-2015,0,0
05-2015,0,0
06-2015,0,0
07-2015,0,0
08-2015,0,0
09-2015,0,0
10-2015,0,0
11-2015,0,0
12-2015,0,0
01-2016,0,0
02-2016,0,0
03-2016,0,0
04-2016,0,0
05-2016,0,0
06-2016,0,0
07-2016,0,0
08-2016,0,0
09-2016,1820,1730
10-2016,1500,1457
11-2016,220,157
12-2016,980,1083
01-2017,820,841
02-2017,820,1023
03-2017,420,419
04-2017,800,800
05-2017,829,831
06-2017,761,763
07-2017,1180,1184
08-2017,1160,1165
09-2017,900,901
10-2017,760,761
11-2017,920,921
12-2017,1280,1283
01-2018,640,642
02-2018,1140,1144
03-2018,940,940
04-2018,340,340
05-2018,440,441
06-2018,1180,1182
07-2018,1040,1044
08-2018,1080,1084
09-2018,1100,1099
10-2018,1375,1378
11-2018,1075,1078
12-2018,1925,1929
01-2019,425,427
02-2019,1184,1188
03-2019,150,150
04-2019,1050,1050
05-2019,1000,1002
06-2019,925,927
07-2019,881,884
08-2019,925,929
09-2019,1030,1033
10-2019,570,570
11-2019,1110,1111
12-2019,1050,1052
01-2020,2400,2406
02-2020,3390,3400
03-2020,570,570
04-2020,180,180
05-2020,90,90
06-2020,981,983
07-2020,1050,1053
08-2020,570,572
09-2020,870,867
10-2020,1410,1413
