Fecha,Ventas,Pronóstico
01-2015,360,335
02-2015,900,820
03-2015,480,393
04-2015,1320,1736
05-2015,540,428
06-2015,1200,1251
07-2015,1380,1298
08-2015,1020,1034
09-2015,1080,1046
10-2015,3480,3479
11-2015,1576,1544
12-2015,2280,2264
01-2016,960,982
02-2016,1260,1228
03-2016,964,945
04-2016,1560,1535
05-2016,1560,1480
06-2016,1380,1340
07-2016,1140,1108
08-2016,2820,2790
09-2016,1440,1439
10-2016,2880,2848
11-2016,960,960
12-2016,1500,1438
01-2017,960,963
02-2017,1200,1198
03-2017,960,925
04-2017,1860,1834
05-2017,1260,1186
06-2017,1260,1223
07-2017,1260,1238
08-2017,1560,1545
09-2017,1380,1353
10-2017,2280,2252
11-2017,1800,1752
12-2017,1260,1221
01-2018,1000,997
02-2018,180,180
03-2018,960,915
04-2018,1000,972
05-2018,1000,951
06-2018,1000,939
07-2018,1000,996
08-2018,1000,909
09-2018,1000,1002
10-2018,1320,1294
11-2018,360,340
12-2018,1100,1044
01-2019,1100,1096
02-2019,1100,1087
03-2019,1100,1079
04-2019,360,344
05-2019,1100,992
06-2019,1100,1067
07-2019,1100,1095
08-2019,720,713
09-2019,360,342
10-2019,1100,1011
11-2019,1100,1075
12-2019,1980,1917
01-2020,1100,1110
02-2020,360,354
03-2020,1100,1038
04-2020,1100,1080
05-2020,180,155
06-2020,240,188
07-2020,1100,1077
08-2020,1260,1213
09-2020,1000,1014
10-2020,1260,1246
11-2020,360,310
12-2020,,316
01-2021,,358
,,
,32394,
,10798,
