Fecha,Ventas
01-2015,396
02-2015,336
03-2015,576
04-2015,1440
05-2015,936
06-2015,552
07-2015,564
08-2015,288
09-2015,1008
10-2015,348
11-2015,446
12-2015,708
01-2016,384
02-2016,408
03-2016,1907
04-2016,456
05-2016,624
06-2016,660
07-2016,528
08-2016,1020
09-2016,840
10-2016,540
11-2016,462
12-2016,564
01-2017,336
02-2017,396
03-2017,396
04-2017,360
05-2017,435
06-2017,411
07-2017,336
08-2017,912
09-2017,552
10-2017,156
11-2017,336
12-2017,396
01-2018,336
02-2018,420
03-2018,588
04-2018,60
05-2018,288
06-2018,348
07-2018,252
08-2018,400
09-2018,456
10-2018,336
11-2018,300
12-2018,528
01-2019,168
02-2019,187
03-2019,250
04-2019,228
05-2019,156
06-2019,240
07-2019,180
08-2019,276
09-2019,144
10-2019,160
11-2019,613
12-2019,600
01-2020,300
02-2020,564
03-2020,144
04-2020,150
05-2020,430
06-2020,400
07-2020,418
08-2020,430
09-2020,80
10-2020,60
11-2020,430
12-2020,0
01-2021,0
