Fecha,Ventas
01-2015,3.530
02-2015,3.710
03-2015,3.290
04-2015,2.840
05-2015,3.350
06-2015,1.910
07-2015,3.130
08-2015,2.420
09-2015,3.110
10-2015,3.090
11-2015,2.587
12-2015,3.980
01-2016,5.650
02-2016,4.830
03-2016,4.034
04-2016,3.570
05-2016,3.650
06-2016,3.250
07-2016,3.470
08-2016,3.390
09-2016,3.460
10-2016,3.020
11-2016,1.946
12-2016,2.880
01-2017,2.470
02-2017,3.010
03-2017,1.230
04-2017,2.780
05-2017,2.142
06-2017,2.320
07-2017,2.340
08-2017,2.650
09-2017,2.770
10-2017,2.840
11-2017,2.150
12-2017,2.482
01-2018,944
02-2018,1.936
03-2018,1.502
04-2018,264
05-2018,416
06-2018,1.232
07-2018,904
08-2018,1.032
09-2018,1.184
10-2018,1.960
11-2018,1.172
12-2018,3.756
01-2019,1.408
02-2019,1.675
03-2019,2.300
04-2019,1.585
05-2019,988
06-2019,964
07-2019,644
08-2019,496
09-2019,2.169
10-2019,1.417
11-2019,3.097
12-2019,4.915
01-2020,4.125
02-2020,2.637
03-2020,1.439
04-2020,2.300
05-2020,2.300
06-2020,1.711
07-2020,1.140
08-2020,547
09-2020,805
10-2020,1.006
