Fecha,Ventas
01-2015,108
02-2015,60
03-2015,72
04-2015,96
05-2015,108
06-2015,60
07-2015,132
08-2015,84
09-2015,144
10-2015,84
11-2015,72
12-2015,120
01-2016,132
02-2016,144
03-2016,108
04-2016,96
05-2016,144
06-2016,144
07-2016,168
08-2016,120
09-2016,108
10-2016,84
11-2016,60
12-2016,84
01-2017,108
02-2017,120
03-2017,72
04-2017,120
05-2017,721
06-2017,160
07-2017,160
08-2017,36
09-2017,96
10-2017,144
11-2017,96
12-2017,144
01-2018,180
02-2018,96
03-2018,84
04-2018,24
05-2018,72
06-2018,240
07-2018,84
08-2018,108
09-2018,108
10-2018,132
11-2018,120
12-2018,156
01-2019,84
02-2019,300
03-2019,132
04-2019,228
05-2019,204
06-2019,204
07-2019,171
08-2019,132
09-2019,132
10-2019,160
11-2019,200
12-2019,384
01-2020,300
02-2020,340
03-2020,130
04-2020,100
05-2020,165
06-2020,324
07-2020,336
08-2020,168
09-2020,170
10-2020,165
