Fecha,Ventas
01-2015,360
02-2015,900
03-2015,480
04-2015,1320
05-2015,540
06-2015,1200
07-2015,1380
08-2015,1020
09-2015,1080
10-2015,3480
11-2015,1576
12-2015,2280
01-2016,960
02-2016,1260
03-2016,964
04-2016,1560
05-2016,1560
06-2016,1380
07-2016,1140
08-2016,2820
09-2016,1440
10-2016,2880
11-2016,960
12-2016,1500
01-2017,960
02-2017,1200
03-2017,960
04-2017,1860
05-2017,1260
06-2017,1260
07-2017,1260
08-2017,1560
09-2017,1380
10-2017,2280
11-2017,1800
12-2017,1260
01-2018,1000
02-2018,180
03-2018,960
04-2018,1000
05-2018,1000
06-2018,1000
07-2018,1000
08-2018,1000
09-2018,1000
10-2018,1320
11-2018,360
12-2018,1540
01-2019,820
02-2019,640
03-2019,620
04-2019,800
05-2019,890
06-2019,1240
07-2019,1246
08-2019,720
09-2019,650
10-2019,1720
11-2019,965
12-2019,1980
01-2020,540
02-2020,360
03-2020,729
04-2020,1100
05-2020,520
06-2020,389
07-2020,622
08-2020,1260
09-2020,926
10-2020,1260
